Drug1,Drug2,Cell line,label
AZD0156,SN-38,HCT-116,1
AZD0156,SN-38,HCT-15,1
AZD0156,SN-38,HGC-27,1
AZD0156,SN-38,HH,0
AZD0156,SN-38,HL-60,1
AZD0156,SN-38,HOS,1
AZD0156,SN-38,HPAC,1
AZD0156,SN-38,HSC-2,1
AZD0156,SN-38,HT-1197,0
AZD0156,SN-38,HT-1376,0
AZD0156,SN-38,HT-144,0
AZD0156,SN-38,HeLa,1
AZD0156,SN-38,HuCCT1,0
AZD0156,SN-38,IA-LM,0
AZD0156,SN-38,IST-MES1,1
AZD0156,SN-38,J82,0
AZD0156,SN-38,JHH-1,0
AZD0156,SN-38,JHH-6,0
AZD0156,SN-38,JHH-7,1
AZD0156,SN-38,JIMT-1,1
AZD0156,SN-38,JVM-2,1
AZD0156,SN-38,JVM-3,0
AZD0156,SN-38,K-562,1
AZD0156,SN-38,KARPAS-422,0
AZD0156,SN-38,KARPAS-620,0
AZD0156,SN-38,KCL-22,1
AZD0156,SN-38,KG-1,0
AZD0156,SN-38,KM-H2,1
AZD0156,SN-38,KM12,1
AZD0156,SN-38,KMS-12-BM,1
AZD0156,SN-38,KNS-62,0
AZD0156,SN-38,KOPN-8,1
AZD0156,SN-38,KP-N-YN,1
AZD0156,SN-38,KS-1,0
AZD0156,SN-38,KU-19-19,1
AZD0156,SN-38,KYM-1,1
AZD0156,SN-38,KYSE-140,1
AZD0156,SN-38,KYSE-150,1
AZD0156,SN-38,KYSE-410,0
AZD0156,SN-38,KYSE-450,1
AZD0156,SN-38,KYSE-70,1
AZD0156,SN-38,L-428,0
AZD0156,SN-38,L-540,1
AZD0156,SN-38,LAMA-84,1
AZD0156,SN-38,LN-18,1
AZD0156,SN-38,LN-229,0
AZD0156,SN-38,LOU-NH91,1
AZD0156,SN-38,MCF7,0
AZD0156,SN-38,MDA-MB-157,1
AZD0156,SN-38,MDA-MB-231,1
AZD0156,SN-38,MDA-MB-436,1
AZD0156,SN-38,MDA-MB-453,0
AZD0156,SN-38,MDA-MB-468,1
AZD0156,SN-38,MEL-JUSO,1
AZD0156,SN-38,MES-SA,0
AZD0156,SN-38,MFE-280,0
AZD0156,SN-38,MHH-ES-1,1
AZD0156,SN-38,MOLM-13,1
AZD0156,SN-38,MOLP-8,0
AZD0156,SN-38,MOLT-4,1
AZD0156,SN-38,MONO-MAC-6,1
AZD0156,SN-38,MSTO-211H,1
AZD0156,SN-38,NAMALWA,1
AZD0156,SN-38,NCI-H1048,1
AZD0156,SN-38,NCI-H1092,0
AZD0156,SN-38,NCI-H1341,0
AZD0156,SN-38,NCI-H1435,0
AZD0156,SN-38,NCI-H1563,0
AZD0156,SN-38,NCI-H1623,0
AZD0156,SN-38,NCI-H1648,0
AZD0156,SN-38,NCI-H1651,0
AZD0156,SN-38,NCI-H1703,1
AZD0156,SN-38,NCI-H1755,1
AZD0156,SN-38,NCI-H1781,1
AZD0156,SN-38,NCI-H1838,0
AZD0156,SN-38,NCI-H1876,0
AZD0156,SN-38,NCI-H1915,0
AZD0156,SN-38,NCI-H1963,1
AZD0156,SN-38,NCI-H1975,1
AZD0156,SN-38,NCI-H2009,1
AZD0156,SN-38,NCI-H2087,1
AZD0156,SN-38,NCI-H2122,1
AZD0156,SN-38,NCI-H2170,1
AZD0156,SN-38,NCI-H23,0
AZD0156,SN-38,NCI-H2342,0
AZD0156,SN-38,NCI-H28,0
AZD0156,SN-38,NCI-H358,1
AZD0156,SN-38,NCI-H446,1
AZD0156,SN-38,NCI-H520,1
AZD0156,SN-38,NCI-H526,1
AZD0156,SN-38,NCI-H596,1
AZD0156,SN-38,NCI-H661,1
AZD0156,SN-38,NCI-H82,1
AZD0156,SN-38,NCI-H929,0
AZD0156,SN-38,NCI-N87,0
AZD0156,SN-38,NUGC-3,1
AZD0156,SN-38,NUGC-4,1
AZD0156,SN-38,OCI-AML2,1
AZD0156,SN-38,OCUM-1,0
AZD0156,SN-38,OE19,1
AZD0156,SN-38,OE33,1
AZD0156,SN-38,OVCAR-3,0
AZD0156,SN-38,OVCAR-4,0
AZD0156,SN-38,OVISE,0
AZD0156,SN-38,PA-TU-8902,1
AZD0156,SN-38,PA-TU-8988T,1
AZD0156,SN-38,PC-14,1
AZD0156,SN-38,RCC10RGB,0
AZD0156,SN-38,RD,0
AZD0156,SN-38,RERF-GC-1B,1
AZD0156,SN-38,RH-18,0
AZD0156,SN-38,RH-41,0
AZD0156,SN-38,RKN,1
AZD0156,SN-38,RMG-I,1
AZD0156,SN-38,RPMI-7951,1
AZD0156,SN-38,RPMI-8226,1
AZD0156,SN-38,RVH-421,0
AZD0156,SN-38,SBC-5,1
AZD0156,SN-38,SCC-15,1
AZD0156,SN-38,SF268,1
AZD0156,SN-38,SF539,1
AZD0156,SN-38,SH-4,0
AZD0156,SN-38,SJSA-1,0
AZD0156,SN-38,SK-ES-1,1
AZD0156,SN-38,SK-HEP-1,1
AZD0156,SN-38,SK-MEL-24,1
AZD0156,SN-38,SK-MES-1,0
AZD0156,SN-38,SK-MM-2,1
AZD0156,SN-38,SK-N-FI,1
AZD0156,SN-38,SK-N-SH,0
AZD0156,SN-38,SK-UT-1,1
AZD0156,SN-38,SNU-1,1
AZD0156,SN-38,SNU-16,1
AZD0156,SN-38,SNU-175,1
AZD0156,SN-38,SNU-407,0
AZD0156,SN-38,SNU-449,0
AZD0156,SN-38,SNU-5,0
AZD0156,SN-38,SR,1
AZD0156,SN-38,ST486,1
AZD0156,SN-38,SU-DHL-10,0
AZD0156,SN-38,SU-DHL-8,0
AZD0156,SN-38,SUIT-2,1
AZD0156,SN-38,SUP-B15,0
AZD0156,SN-38,SW1417,0
AZD0156,SN-38,SW1463,1
AZD0156,SN-38,SW48,1
AZD0156,SN-38,SW948,1
AZD0156,SN-38,Saos-2,0
AZD0156,SN-38,SiHa,0
AZD0156,SN-38,TC-71,1
AZD0156,SN-38,TCCSUP,1
AZD0156,SN-38,TE-1,1
AZD0156,SN-38,TE-4,1
AZD0156,SN-38,TE-5,1
AZD0156,SN-38,TE-6,0
AZD0156,SN-38,TGBC11TKB,1
AZD0156,SN-38,TOV-112D,1
AZD0156,SN-38,TOV-21G,0
AZD0156,SN-38,TYK-nu,0
AZD0156,SN-38,U251,0
AZD0156,SN-38,UACC-257,1
AZD0156,SN-38,UM-UC-3,1
AZD0156,SN-38,WM-115,0
AZD0156,SN-38,WSU-DLCL2,1
AZD0156,SN-38,huH-1,1
AZD0156,Venetoclax,42-MG-BA,1
AZD0156,Venetoclax,5637,0
AZD0156,Venetoclax,786-0,0
AZD0156,Venetoclax,8-MG-BA,0
AZD0156,Venetoclax,8305C,0
AZD0156,Venetoclax,A172,0
AZD0156,Venetoclax,A2058,1
AZD0156,Venetoclax,A498,0
AZD0156,Venetoclax,AGS,0
AZD0156,Venetoclax,AM-38,0
AZD0156,Venetoclax,AMO-1,0
AZD0156,Venetoclax,B-CPAP,1
AZD0156,Venetoclax,BFTC-905,1
AZD0156,Venetoclax,BFTC-909,1
AZD0156,Venetoclax,BT-20,0
AZD0156,Venetoclax,BV-173,0
AZD0156,Venetoclax,BxPC-3,0
AZD0156,Venetoclax,CA46,0
AZD0156,Venetoclax,CADO-ES1,0
AZD0156,Venetoclax,CAL-120,0
AZD0156,Venetoclax,CAL-62,1
AZD0156,Venetoclax,CAL-85-1,0
AZD0156,Venetoclax,CAMA-1,0
AZD0156,Venetoclax,CHP-212,0
AZD0156,Venetoclax,CL-11,0
AZD0156,Venetoclax,CML-T1,1
AZD0156,Venetoclax,COR-L105,0
AZD0156,Venetoclax,COR-L279,1
AZD0156,Venetoclax,COR-L311,1
AZD0156,Venetoclax,CW-2,1
AZD0156,Venetoclax,Calu-3,0
AZD0156,Venetoclax,Calu-6,1
AZD0156,Venetoclax,DAN-G,0
AZD0156,Venetoclax,DB,0
AZD0156,Venetoclax,DEL,1
AZD0156,Venetoclax,DU-145,0
AZD0156,Venetoclax,Daoy,0
AZD0156,Venetoclax,Daudi,0
AZD0156,Venetoclax,ECC10,1
AZD0156,Venetoclax,EFM-192A,0
AZD0156,Venetoclax,EFO-21,0
AZD0156,Venetoclax,EN,0
AZD0156,Venetoclax,EPLC-272H,0
AZD0156,Venetoclax,ES-2,1
AZD0156,Venetoclax,G-361,0
AZD0156,Venetoclax,G-401,0
AZD0156,Venetoclax,G-402,0
AZD0156,Venetoclax,GCIY,1
AZD0156,Venetoclax,GCT,0
AZD0156,Venetoclax,GDM-1,0
AZD0156,Venetoclax,H4,0
AZD0156,Venetoclax,HCC-15,0
AZD0156,Venetoclax,HCC-78,1
AZD0156,Venetoclax,HCC1500,1
AZD0156,Venetoclax,HCC1806,1
AZD0156,Venetoclax,HCC1937,0
AZD0156,Venetoclax,HCC38,1
AZD0156,Venetoclax,HCT-116,0
AZD0156,Venetoclax,HCT-15,0
AZD0156,Venetoclax,HL-60,1
AZD0156,Venetoclax,HOP-62,0
AZD0156,Venetoclax,HOP-92,1
AZD0156,Venetoclax,HSC-3,1
AZD0156,Venetoclax,HSC-4,0
AZD0156,Venetoclax,HT-1080,0
AZD0156,Venetoclax,HT-29,0
AZD0156,Venetoclax,HT55,0
AZD0156,Venetoclax,HeLa,0
AZD0156,Venetoclax,IST-MES1,0
AZD0156,Venetoclax,J82,1
AZD0156,Venetoclax,JHH-1,0
AZD0156,Venetoclax,JHH-7,0
AZD0156,Venetoclax,JIMT-1,0
AZD0156,Venetoclax,JJN-3,1
AZD0156,Venetoclax,JVM-3,1
AZD0156,Venetoclax,KALS-1,0
AZD0156,Venetoclax,KARPAS-299,1
AZD0156,Venetoclax,KE-37,0
AZD0156,Venetoclax,KELLY,1
AZD0156,Venetoclax,KG-1,1
AZD0156,Venetoclax,KMRC-1,0
AZD0156,Venetoclax,KMS-12-BM,1
AZD0156,Venetoclax,KOPN-8,0
AZD0156,Venetoclax,KU-19-19,0
AZD0156,Venetoclax,KU812,0
AZD0156,Venetoclax,KYM-1,1
AZD0156,Venetoclax,KYSE-180,0
AZD0156,Venetoclax,KYSE-270,1
AZD0156,Venetoclax,KYSE-410,0
AZD0156,Venetoclax,KYSE-70,0
AZD0156,Venetoclax,L-1236,0
AZD0156,Venetoclax,L-363,1
AZD0156,Venetoclax,LAMA-84,1
AZD0156,Venetoclax,LCLC-103H,0
AZD0156,Venetoclax,LCLC-97TM1,0
AZD0156,Venetoclax,LOU-NH91,0
AZD0156,Venetoclax,LoVo,0
AZD0156,Venetoclax,MDA-MB-157,0
AZD0156,Venetoclax,MDA-MB-361,1
AZD0156,Venetoclax,MDA-MB-415,0
AZD0156,Venetoclax,MDA-MB-436,0
AZD0156,Venetoclax,MDST8,0
AZD0156,Venetoclax,ME-1,0
AZD0156,Venetoclax,MEG-01,0
AZD0156,Venetoclax,MFE-296,1
AZD0156,Venetoclax,MFE-319,1
AZD0156,Venetoclax,MG-63,1
AZD0156,Venetoclax,MOLM-13,0
AZD0156,Venetoclax,MOLP-8,1
AZD0156,Venetoclax,MOLT-13,1
AZD0156,Venetoclax,MONO-MAC-6,1
AZD0156,Venetoclax,MSTO-211H,0
AZD0156,Venetoclax,MV-4-11,0
AZD0156,Venetoclax,NCI-H1048,1
AZD0156,Venetoclax,NCI-H1155,0
AZD0156,Venetoclax,NCI-H1341,1
AZD0156,Venetoclax,NCI-H1573,0
AZD0156,Venetoclax,NCI-H1581,1
AZD0156,Venetoclax,NCI-H1648,0
AZD0156,Venetoclax,NCI-H1703,1
AZD0156,Venetoclax,NCI-H1755,1
AZD0156,Venetoclax,NCI-H1781,1
AZD0156,Venetoclax,NCI-H1876,1
AZD0156,Venetoclax,NCI-H1915,0
AZD0156,Venetoclax,NCI-H196,0
AZD0156,Venetoclax,NCI-H2009,0
AZD0156,Venetoclax,NCI-H2023,0
AZD0156,Venetoclax,NCI-H2052,0
AZD0156,Venetoclax,NCI-H2087,0
AZD0156,Venetoclax,NCI-H209,1
AZD0156,Venetoclax,NCI-H2122,1
AZD0156,Venetoclax,NCI-H23,0
AZD0156,Venetoclax,NCI-H2342,0
AZD0156,Venetoclax,NCI-H2347,0
AZD0156,Venetoclax,NCI-H28,0
AZD0156,Venetoclax,NCI-H3122,0
AZD0156,Venetoclax,NCI-H441,0
AZD0156,Venetoclax,NCI-H522,0
AZD0156,Venetoclax,NCI-H524,1
AZD0156,Venetoclax,NCI-H526,1
AZD0156,Venetoclax,NCI-H661,1
AZD0156,Venetoclax,NCI-H69,1
AZD0156,Venetoclax,NCI-H716,0
AZD0156,Venetoclax,NCI-H810,0
AZD0156,Venetoclax,NCI-H82,1
AZD0156,Venetoclax,NCI-H929,1
AZD0156,Venetoclax,NOMO-1,1
AZD0156,Venetoclax,NUGC-4,0
AZD0156,Venetoclax,OCI-AML2,0
AZD0156,Venetoclax,OCUM-1,0
AZD0156,Venetoclax,OE19,0
AZD0156,Venetoclax,OE21,0
AZD0156,Venetoclax,OPM-2,1
AZD0156,Venetoclax,OS-RC-2,0
AZD0156,Venetoclax,OV-90,0
AZD0156,Venetoclax,OVKATE,0
AZD0156,Venetoclax,OVTOKO,0
AZD0156,Venetoclax,P12-ICHIKAWA,1
AZD0156,Venetoclax,PC-14,1
AZD0156,Venetoclax,PC-3,0
AZD0156,Venetoclax,PF-382,1
AZD0156,Venetoclax,RD,0
AZD0156,Venetoclax,RERF-GC-1B,0
AZD0156,Venetoclax,RERF-LC-KJ,1
AZD0156,Venetoclax,RKN,0
AZD0156,Venetoclax,RKO,1
AZD0156,Venetoclax,RPMI-8226,1
AZD0156,Venetoclax,RT4,0
AZD0156,Venetoclax,RVH-421,0
AZD0156,Venetoclax,Raji,1
AZD0156,Venetoclax,SCC-9,0
AZD0156,Venetoclax,SF268,1
AZD0156,Venetoclax,SF539,1
AZD0156,Venetoclax,SK-ES-1,1
AZD0156,Venetoclax,SK-HEP-1,0
AZD0156,Venetoclax,SK-LMS-1,1
AZD0156,Venetoclax,SK-MM-2,0
AZD0156,Venetoclax,SK-N-AS,0
AZD0156,Venetoclax,SK-N-DZ,1
AZD0156,Venetoclax,SN12C,0
AZD0156,Venetoclax,SNG-M,0
AZD0156,Venetoclax,SNU-175,0
AZD0156,Venetoclax,SNU-423,0
AZD0156,Venetoclax,SNU-449,0
AZD0156,Venetoclax,SNU-5,1
AZD0156,Venetoclax,SNU-C5,0
AZD0156,Venetoclax,SR,0
AZD0156,Venetoclax,ST486,1
AZD0156,Venetoclax,SU-DHL-6,1
AZD0156,Venetoclax,SU-DHL-8,0
AZD0156,Venetoclax,SUIT-2,1
AZD0156,Venetoclax,SW1116,0
AZD0156,Venetoclax,SW1417,0
AZD0156,Venetoclax,SW1463,0
AZD0156,Venetoclax,Saos-2,0
AZD0156,Venetoclax,SiHa,0
AZD0156,Venetoclax,T84,0
AZD0156,Venetoclax,TE-1,0
AZD0156,Venetoclax,TE-10,1
AZD0156,Venetoclax,TE-15,0
AZD0156,Venetoclax,TE-6,1
AZD0156,Venetoclax,TE-8,0
AZD0156,Venetoclax,TE-9,0
AZD0156,Venetoclax,TT,0
AZD0156,Venetoclax,TT2609-C02,0
AZD0156,Venetoclax,TYK-nu,0
AZD0156,Venetoclax,UACC-812,0
AZD0156,Venetoclax,UM-UC-3,1
AZD0156,Venetoclax,VCaP,1
AZD0156,Venetoclax,WSU-DLCL2,1
AZD0156,Venetoclax,YAPC,0
AZD0156,Venetoclax,YH-13,0
AZD1390,Capivasertib,42-MG-BA,0
AZD1390,Capivasertib,5637,0
AZD1390,Capivasertib,639-V,0
AZD1390,Capivasertib,769-P,0
AZD1390,Capivasertib,786-0,0
AZD1390,Capivasertib,8-MG-BA,0
AZD1390,Capivasertib,A101D,0
AZD1390,Capivasertib,A172,0
AZD1390,Capivasertib,A2058,0
AZD1390,Capivasertib,A549,0
AZD1390,Capivasertib,ACHN,0
AZD1390,Capivasertib,AGS,0
AZD1390,Capivasertib,AMO-1,1
AZD1390,Capivasertib,AU565,0
AZD1390,Capivasertib,AsPC-1,0
AZD1390,Capivasertib,BHT-101,0
AZD1390,Capivasertib,BL-41,0
AZD1390,Capivasertib,BT-20,0
AZD1390,Capivasertib,BV-173,0
AZD1390,Capivasertib,BxPC-3,0
AZD1390,Capivasertib,C2BBe1,0
AZD1390,Capivasertib,CADO-ES1,0
AZD1390,Capivasertib,CAL-120,0
AZD1390,Capivasertib,CAL-148,0
AZD1390,Capivasertib,CAL-54,0
AZD1390,Capivasertib,CAL-62,0
AZD1390,Capivasertib,CAL-78,0
AZD1390,Capivasertib,CAS-1,0
AZD1390,Capivasertib,CCK-81,0
AZD1390,Capivasertib,CCRF-CEM,0
AZD1390,Capivasertib,CL-11,0
AZD1390,Capivasertib,CML-T1,1
AZD1390,Capivasertib,COLO-678,0
AZD1390,Capivasertib,COR-L105,0
AZD1390,Capivasertib,COR-L23,0
AZD1390,Capivasertib,COR-L311,0
AZD1390,Capivasertib,CW-2,0
AZD1390,Capivasertib,Calu-6,0
AZD1390,Capivasertib,DAN-G,0
AZD1390,Capivasertib,DEL,1
AZD1390,Capivasertib,DK-MG,0
AZD1390,Capivasertib,DND-41,0
AZD1390,Capivasertib,Daudi,0
AZD1390,Capivasertib,EC-GI-10,0
AZD1390,Capivasertib,ECC10,0
AZD1390,Capivasertib,EFO-21,0
AZD1390,Capivasertib,EJM,0
AZD1390,Capivasertib,EM-2,0
AZD1390,Capivasertib,ES-2,0
AZD1390,Capivasertib,FTC-133,0
AZD1390,Capivasertib,FU-OV-1,0
AZD1390,Capivasertib,G-402,0
AZD1390,Capivasertib,GA-10,0
AZD1390,Capivasertib,GAMG,0
AZD1390,Capivasertib,GCT,0
AZD1390,Capivasertib,GDM-1,0
AZD1390,Capivasertib,GI-1,0
AZD1390,Capivasertib,HARA,0
AZD1390,Capivasertib,HCC-15,0
AZD1390,Capivasertib,HCC-44,0
AZD1390,Capivasertib,HCC1187,0
AZD1390,Capivasertib,HCC1395,1
AZD1390,Capivasertib,HCC1428,0
AZD1390,Capivasertib,HCC1937,0
AZD1390,Capivasertib,HCC1954,0
AZD1390,Capivasertib,HCC2157,1
AZD1390,Capivasertib,HCT-116,0
AZD1390,Capivasertib,HCT-15,0
AZD1390,Capivasertib,HDQ-P1,0
AZD1390,Capivasertib,HL-60,0
AZD1390,Capivasertib,HOP-62,0
AZD1390,Capivasertib,HOP-92,0
AZD1390,Capivasertib,HSC-3,0
AZD1390,Capivasertib,HSC-4,0
AZD1390,Capivasertib,HT-1080,0
AZD1390,Capivasertib,HT-144,0
AZD1390,Capivasertib,HT-29,0
AZD1390,Capivasertib,HT55,0
AZD1390,Capivasertib,HuH-7,0
AZD1390,Capivasertib,IA-LM,0
AZD1390,Capivasertib,IGR-1,0
AZD1390,Capivasertib,J82,0
AZD1390,Capivasertib,JHH-1,0
AZD1390,Capivasertib,JHH-2,0
AZD1390,Capivasertib,JHH-7,0
AZD1390,Capivasertib,JJN-3,0
AZD1390,Capivasertib,JURL-MK1,0
AZD1390,Capivasertib,KALS-1,0
AZD1390,Capivasertib,KARPAS-299,1
AZD1390,Capivasertib,KARPAS-422,0
AZD1390,Capivasertib,KE-37,0
AZD1390,Capivasertib,KELLY,0
AZD1390,Capivasertib,KG-1,0
AZD1390,Capivasertib,KM12,0
AZD1390,Capivasertib,KMRC-1,0
AZD1390,Capivasertib,KMRC-20,0
AZD1390,Capivasertib,KOPN-8,0
AZD1390,Capivasertib,KP-2,0
AZD1390,Capivasertib,KP-3,0
AZD1390,Capivasertib,KU-19-19,0
AZD1390,Capivasertib,KYM-1,0
AZD1390,Capivasertib,KYSE-140,0
AZD1390,Capivasertib,KYSE-270,0
AZD1390,Capivasertib,KYSE-410,0
AZD1390,Capivasertib,KYSE-450,0
AZD1390,Capivasertib,L-1236,1
AZD1390,Capivasertib,L-363,0
AZD1390,Capivasertib,L-428,0
AZD1390,Capivasertib,LCLC-103H,0
AZD1390,Capivasertib,LCLC-97TM1,0
AZD1390,Capivasertib,LK-2,0
AZD1390,Capivasertib,LOU-NH91,0
AZD1390,Capivasertib,LXF-289,0
AZD1390,Capivasertib,LoVo,0
AZD1390,Capivasertib,MDA-MB-231,0
AZD1390,Capivasertib,MDA-MB-361,0
AZD1390,Capivasertib,MDA-MB-415,0
AZD1390,Capivasertib,MDST8,0
AZD1390,Capivasertib,ME-1,0
AZD1390,Capivasertib,MEG-01,0
AZD1390,Capivasertib,MFE-280,0
AZD1390,Capivasertib,MFE-296,0
AZD1390,Capivasertib,MFE-319,0
AZD1390,Capivasertib,MHH-ES-1,0
AZD1390,Capivasertib,MKN1,0
AZD1390,Capivasertib,MOLM-13,0
AZD1390,Capivasertib,MONO-MAC-6,0
AZD1390,Capivasertib,MSTO-211H,0
AZD1390,Capivasertib,MV-4-11,0
AZD1390,Capivasertib,NCI-H1048,0
AZD1390,Capivasertib,NCI-H1092,0
AZD1390,Capivasertib,NCI-H1155,0
AZD1390,Capivasertib,NCI-H1355,0
AZD1390,Capivasertib,NCI-H1435,0
AZD1390,Capivasertib,NCI-H1563,1
AZD1390,Capivasertib,NCI-H1581,0
AZD1390,Capivasertib,NCI-H1651,0
AZD1390,Capivasertib,NCI-H1693,0
AZD1390,Capivasertib,NCI-H1792,0
AZD1390,Capivasertib,NCI-H1793,0
AZD1390,Capivasertib,NCI-H1838,0
AZD1390,Capivasertib,NCI-H1944,0
AZD1390,Capivasertib,NCI-H196,0
AZD1390,Capivasertib,NCI-H1963,0
AZD1390,Capivasertib,NCI-H2052,0
AZD1390,Capivasertib,NCI-H2085,0
AZD1390,Capivasertib,NCI-H2087,0
AZD1390,Capivasertib,NCI-H2170,0
AZD1390,Capivasertib,NCI-H2228,0
AZD1390,Capivasertib,NCI-H226,0
AZD1390,Capivasertib,NCI-H2347,0
AZD1390,Capivasertib,NCI-H2405,0
AZD1390,Capivasertib,NCI-H2452,0
AZD1390,Capivasertib,NCI-H441,0
AZD1390,Capivasertib,NCI-H446,0
AZD1390,Capivasertib,NCI-H520,0
AZD1390,Capivasertib,NCI-H596,0
AZD1390,Capivasertib,NCI-H650,0
AZD1390,Capivasertib,NCI-H661,0
AZD1390,Capivasertib,NCI-H727,0
AZD1390,Capivasertib,NCI-H747,0
AZD1390,Capivasertib,NCI-H810,0
AZD1390,Capivasertib,NCI-H929,0
AZD1390,Capivasertib,NOMO-1,0
AZD1390,Capivasertib,NUGC-3,0
AZD1390,Capivasertib,OCI-AML3,0
AZD1390,Capivasertib,OCI-AML5,0
AZD1390,Capivasertib,OCI-M1,0
AZD1390,Capivasertib,OE33,0
AZD1390,Capivasertib,ONS-76,0
AZD1390,Capivasertib,OPM-2,0
AZD1390,Capivasertib,OVCAR-3,0
AZD1390,Capivasertib,OVCAR-4,0
AZD1390,Capivasertib,OVCAR-5,0
AZD1390,Capivasertib,OVKATE,0
AZD1390,Capivasertib,OVTOKO,0
AZD1390,Capivasertib,P12-ICHIKAWA,0
AZD1390,Capivasertib,PC-14,0
AZD1390,Capivasertib,PF-382,0
AZD1390,Capivasertib,PSN1,0
AZD1390,Capivasertib,RERF-GC-1B,0
AZD1390,Capivasertib,RERF-LC-Sq1,0
AZD1390,Capivasertib,RH-41,0
AZD1390,Capivasertib,RL95-2,0
AZD1390,Capivasertib,RMG-I,0
AZD1390,Capivasertib,RPMI-7951,0
AZD1390,Capivasertib,RT-112,0
AZD1390,Capivasertib,RT4,0
AZD1390,Capivasertib,Raji,0
AZD1390,Capivasertib,SCC-4,0
AZD1390,Capivasertib,SCC-9,0
AZD1390,Capivasertib,SF268,0
AZD1390,Capivasertib,SHP-77,0
AZD1390,Capivasertib,SJSA-1,0
AZD1390,Capivasertib,SK-CO-1,0
AZD1390,Capivasertib,SK-LMS-1,0
AZD1390,Capivasertib,SK-LU-1,0
AZD1390,Capivasertib,SK-MEL-1,0
AZD1390,Capivasertib,SK-MM-2,0
AZD1390,Capivasertib,SK-N-AS,0
AZD1390,Capivasertib,SK-N-DZ,0
AZD1390,Capivasertib,SK-OV-3,0
AZD1390,Capivasertib,SN12C,0
AZD1390,Capivasertib,SNG-M,0
AZD1390,Capivasertib,SNU-387,0
AZD1390,Capivasertib,SNU-398,0
AZD1390,Capivasertib,SNU-407,0
AZD1390,Capivasertib,SNU-5,0
AZD1390,Capivasertib,SNU-61,0
AZD1390,Capivasertib,SNU-C1,0
AZD1390,Capivasertib,ST486,0
AZD1390,Capivasertib,SU-DHL-10,1
AZD1390,Capivasertib,SU-DHL-5,0
AZD1390,Capivasertib,SUIT-2,0
AZD1390,Capivasertib,SUP-B15,0
AZD1390,Capivasertib,SUP-M2,1
AZD1390,Capivasertib,SW1417,0
AZD1390,Capivasertib,SW48,0
AZD1390,Capivasertib,SW620,0
AZD1390,Capivasertib,SiHa,0
AZD1390,Capivasertib,T84,0
AZD1390,Capivasertib,T98G,0
AZD1390,Capivasertib,TE-1,0
AZD1390,Capivasertib,TE-15,0
AZD1390,Capivasertib,TE-6,0
AZD1390,Capivasertib,TGBC11TKB,0
AZD1390,Capivasertib,TOV-112D,0
AZD1390,Capivasertib,TT,0
AZD1390,Capivasertib,U251,0
AZD1390,Capivasertib,UACC-257,0
AZD1390,Capivasertib,UACC-62,0
AZD1390,Capivasertib,WSU-DLCL2,1
AZD1390,Capivasertib,YH-13,0
AZD1390,Capivasertib,ZR-75-30,0
AZD1390,Gefitinib,5637,0
AZD1390,Gefitinib,639-V,0
AZD1390,Gefitinib,647-V,0
AZD1390,Gefitinib,786-0,0
AZD1390,Gefitinib,8-MG-BA,0
AZD1390,Gefitinib,8305C,0
AZD1390,Gefitinib,A172,0
AZD1390,Gefitinib,A2058,0
AZD1390,Gefitinib,A2780,0
AZD1390,Gefitinib,ACHN,0
AZD1390,Gefitinib,AGS,0
AZD1390,Gefitinib,ALL-SIL,0
AZD1390,Gefitinib,AU565,0
AZD1390,Gefitinib,AsPC-1,0
AZD1390,Gefitinib,B-CPAP,0
AZD1390,Gefitinib,BHT-101,0
AZD1390,Gefitinib,BL-41,1
AZD1390,Gefitinib,BT-20,0
AZD1390,Gefitinib,BV-173,0
AZD1390,Gefitinib,BxPC-3,0
AZD1390,Gefitinib,C32,0
AZD1390,Gefitinib,CAL-120,0
AZD1390,Gefitinib,CAL-148,0
AZD1390,Gefitinib,CAL-29,0
AZD1390,Gefitinib,CAL-54,0
AZD1390,Gefitinib,CAL-62,0
AZD1390,Gefitinib,CAL-78,0
AZD1390,Gefitinib,CCK-81,0
AZD1390,Gefitinib,CCRF-CEM,0
AZD1390,Gefitinib,CFPAC-1,0
AZD1390,Gefitinib,CML-T1,0
AZD1390,Gefitinib,COLO-678,0
AZD1390,Gefitinib,COLO-679,0
AZD1390,Gefitinib,COR-L23,0
AZD1390,Gefitinib,COR-L279,0
AZD1390,Gefitinib,COR-L311,0
AZD1390,Gefitinib,Calu-3,0
AZD1390,Gefitinib,Calu-6,0
AZD1390,Gefitinib,Caov-4,0
AZD1390,Gefitinib,DBTRG-05MG,0
AZD1390,Gefitinib,DEL,0
AZD1390,Gefitinib,DK-MG,0
AZD1390,Gefitinib,Daoy,0
AZD1390,Gefitinib,Daudi,0
AZD1390,Gefitinib,EBC-1,0
AZD1390,Gefitinib,EFM-19,0
AZD1390,Gefitinib,EFM-192A,0
AZD1390,Gefitinib,EFO-21,0
AZD1390,Gefitinib,EN,0
AZD1390,Gefitinib,ES-2,0
AZD1390,Gefitinib,ESS-1,0
AZD1390,Gefitinib,FU97,0
AZD1390,Gefitinib,G-361,0
AZD1390,Gefitinib,G-401,0
AZD1390,Gefitinib,GAMG,0
AZD1390,Gefitinib,GB-1,0
AZD1390,Gefitinib,GCIY,1
AZD1390,Gefitinib,GI-1,0
AZD1390,Gefitinib,GRANTA-519,0
AZD1390,Gefitinib,H4,0
